ins,model,time,groundsize
instrect4000_41_2,0,61.901,42533
instrect4535_65_2,0,62.617,48181
instrect4708_39_1,0,70.733,50089
instrect4708_39_2,0,69.984,50089
instrect4781_68_0,0,39.582,50799
instrect4892_46_2,0,85.876,52059
instrectL1412_10_16,1+,5.902,1895
instrectL1412_10_35,1+,5.759,1895
instrectL1412_12_11,1+,2.254,1891
instrectL1412_12_15,1+,13.641,1891
instrectL1412_12_16,1+,3.099,1891
instrectL1412_12_24,1+,14.769,1891
instrectL1412_12_8,1+,16.892,1891
instrectL1412_14_1,1+,21.241,1887
instrectL1412_14_10,1+,1.051,1886
instrectL1412_14_27,1+,52.064,1887
instrectL1412_14_28,1+,51.473,1887
instrectL1412_14_3,1+,6.234,1887
instrectL1412_14_32,1+,0.868,1887
instrectL1412_14_8,1+,5.742,1887
instrectL1412_16_19,1+,2.356,1883
instrectL1412_16_20,1+,6.432,1883
instrectL1412_16_27,1+,5.929,1883
instrectL1412_16_30,1+,50.379,1883
instrectL1412_16_32,1+,23.564,1883
instrectL1412_16_35,1+,2.341,1882
instrectL1412_16_38,1+,22.816,1883
instrectL1412_16_5,1+,16.023,1883
instrectL1412_18_33,1+,13.183,1879
instrectL1412_18_37,1+,3.078,1879
instrectL1412_2_0,1+,3.097,1911
instrectL1412_20_19,1+,34.749,1875
instrectL1412_20_23,1+,1.039,1875
instrectL1412_20_26,1+,27.101,1875
instrectL1412_20_27,1+,42.005,1875
instrectL1412_20_30,1+,26.736,1875
instrectL1412_20_35,1+,5.562,1875
instrectL1412_20_5,1+,67.376,1875
instrectL1412_2_12,1+,6.445,1911
instrectL1412_2_13,1+,13.286,1911
instrectL1412_2_17,1+,6.552,1911
instrectL1412_22_12,1+,10.258,1871
instrectL1412_22_24,1+,28.730,1871
instrectL1412_22_29,1+,8.358,1871
instrectL1412_22_30,1+,0.496,1871
instrectL1412_2_25,1+,4.179,1911
instrectL1412_22_5,1+,71.913,1871
instrectL1412_2_37,1+,21.493,1911
instrectL1412_24_11,1+,8.707,1866
