ins,model,time,groundsize
insttri200_49_1,1+,16.288,3477
insttri200_49_2,0+,199.993,3476
insttri200_51_1,1+,0.243,3427
insttri200_51_10,0+,199.993,3429
insttri200_51_5,1+,1.320,3429
insttri200_51_6,1+,0.096,3429
insttri200_51_9,1+,0.232,3429
insttri200_57_1,0+,199.994,3459
insttri200_57_2,1+,0.991,3459
insttri200_61_10,1+,0.405,3409
insttri200_65_1,1+,14.241,3445
insttri200_65_2,1+,0.223,3445
insttri200_71_10,1+,7.707,3389
insttri200_71_3,0+,199.991,3389
insttri200_73_1,1+,15.503,3427
insttri200_73_2,1+,56.256,3429
insttri200_81_1,0+,199.991,3412
insttri200_81_10,0+,199.992,3369
insttri200_81_2,0+,199.991,3412
insttri200_81_8,1+,1.060,3367
insttri200_81_9,1+,0.140,3369
insttri200_89_1,0+,199.991,3395
insttri200_9_1,1+,0.968,3557
insttri200_91_5,0+,199.994,3346
insttri200_91_6,1+,90.508,3349
insttri200_9_2,1+,0.165,3557
insttri2010_141_0,1+,1.326,4349
insttri2010_181_6,0+,199.990,4268
insttri2010_191_7,1+,100.592,4249
insttri2010_191_9,0+,199.990,4248
insttri2010_271_2,1+,7.838,4087
insttri2010_291_0,1+,130.909,4049
insttri2010_301_4,0+,199.989,4026
insttri2010_51_5,1+,5.771,4529
insttri240_1_1,1+,0.436,4369
insttri240_1_2,1+,1.355,4369
insttri240_17_1,1+,3.324,4336
insttri240_17_2,1+,0.574,4337
insttri240_25_1,1+,0.151,4321
insttri240_25_2,1+,0.566,4321
insttri240_33_1,1+,1.494,4305
insttri240_33_2,1+,1.185,4305
insttri240_41_2,1+,0.108,4289
insttri240_49_1,1+,1.573,4273
insttri240_49_2,1+,0.399,4272
insttri240_57_1,1+,0.576,4257
insttri240_57_2,1+,1.617,4256
insttri240_65_1,1+,13.363,4241
insttri240_65_2,1+,14.156,4240
insttri240_73_1,0+,199.991,4225
insttri240_73_2,1+,0.241,4225
insttri240_81_1,1+,2.816,4209
insttri240_81_2,0+,199.986,4208
insttri240_89_1,0+,199.993,4191
insttri240_89_2,1+,3.418,4192
insttri240_9_1,1+,2.693,4353
insttri240_9_2,1+,0.231,4353
insttri280_1_1,1+,6.421,5245
insttri280_1_2,1+,0.676,5245
insttri280_17_1,1+,13.728,5213
insttri280_17_2,1+,7.745,5212
insttri280_25_1,1+,0.842,5197
insttri280_25_2,1+,12.062,5197
insttri280_33_1,1+,3.457,5181
insttri280_33_2,1+,3.322,5180
insttri280_41_1,1+,2.742,5165
insttri280_41_2,1+,15.267,5165
insttri280_49_1,1+,9.414,5149
insttri280_49_2,1+,5.820,5149
insttri280_57_1,1+,1.428,5133
insttri280_57_2,1+,1.513,5133
insttri280_65_1,1+,20.399,5115
insttri280_65_2,1+,1.232,5115
insttri280_73_1,1+,24.194,5100
insttri280_73_2,0+,199.989,5100
insttri280_81_1,0+,199.991,5085
insttri280_81_2,1+,14.245,5085
insttri280_89_1,1+,0.461,5068
insttri280_89_2,1+,22.501,5069
insttri280_9_1,1+,8.301,5229
insttri280_9_2,1+,0.989,5229
insttri3010_301_0,0+,199.992,5947
insttri3010_301_2,0+,199.991,5946
insttri3010_301_3,0+,199.993,5947
insttri3010_301_5,0+,199.990,5945
insttri3010_301_6,1+,25.967,5947
insttri3010_301_7,0+,199.990,5941
insttri3010_301_8,0+,199.989,5941
insttri3010_311_0,0+,199.990,5926
insttri3010_311_3,0+,199.989,5928
insttri3010_311_4,0+,199.990,5925
insttri3010_311_7,1+,94.370,5923
insttri3010_311_8,0+,199.990,5926
insttri320_1_1,1+,2.550,5713
insttri320_1_2,1+,10.889,5713
insttri320_17_1,1+,5.604,5681
insttri320_17_2,1+,6.066,5681
insttri320_25_1,1+,3.955,5663
insttri320_25_2,1+,2.583,5665
insttri320_33_1,1+,14.096,5649
insttri320_33_2,1+,11.180,5648
insttri320_41_1,1+,14.966,5633
insttri320_41_2,1+,6.645,5633
insttri320_49_1,1+,7.197,5617
insttri320_49_2,1+,5.870,5617
insttri320_57_1,1+,1.056,5601
insttri320_57_2,1+,1.234,5600
insttri320_65_1,1+,11.269,5585
insttri320_65_2,1+,5.072,5585
insttri320_73_1,0+,199.990,5568
insttri320_73_2,1+,0.083,5569
insttri320_81_1,1+,7.168,5553
insttri320_81_2,1+,14.344,5552
insttri320_89_1,1+,16.694,5537
insttri320_89_2,1+,3.664,5537
insttri320_9_1,1+,3.670,5697
insttri320_9_2,1+,0.467,5697
insttri360_1_1,1+,24.141,6709
insttri360_1_2,1+,7.703,6709
insttri360_17_1,1+,7.038,6677
insttri360_17_2,1+,10.185,6677
insttri360_25_1,1+,46.218,6661
insttri360_25_2,1+,23.544,6661
insttri360_33_1,1+,4.202,6645
insttri360_33_2,0+,199.988,6645
insttri360_41_1,1+,5.419,6629
insttri360_41_2,1+,78.834,6629
insttri360_49_1,1+,43.367,6613
insttri360_49_2,0,0.014,6611
insttri360_57_1,1+,136.118,6597
insttri360_57_2,1+,6.433,6596
insttri360_65_1,1+,2.997,6581
insttri360_65_2,1+,5.447,6581
insttri360_73_1,1+,49.875,6565
insttri360_73_2,1+,80.716,6565
insttri360_81_1,1+,20.603,6549
insttri360_81_2,1+,97.305,6549
insttri360_89_1,1+,49.888,6531
insttri360_89_2,1+,33.945,6533
insttri360_9_1,1+,8.950,6693
insttri360_9_2,1+,0.319,6693
insttri400_1_1,1+,9.770,7237
insttri400_1_2,1+,6.908,7237
insttri400_17_1,1+,1.927,7205
insttri400_17_2,0+,199.987,7205
insttri400_25_1,0+,199.987,7189
insttri400_25_2,1+,157.512,7189
insttri400_33_1,1+,40.437,7173
insttri400_33_2,1+,101.449,7173
insttri400_41_1,1+,50.040,7157
insttri400_41_2,0+,199.986,7156
insttri400_49_1,1+,41.166,7141
insttri400_49_2,0+,199.988,7141
insttri400_57_1,0+,199.988,7125
insttri400_57_2,0+,199.988,7125
insttri400_65_1,1+,8.138,7109
insttri400_65_2,0+,199.988,7107
insttri400_73_1,0+,199.988,7093
insttri400_73_2,1+,10.593,7093
insttri400_81_1,0+,199.988,7076
insttri400_81_2,0+,199.988,7077
insttri400_89_1,0+,199.988,7059
insttri400_89_2,0+,199.986,7059
insttri400_9_1,1+,33.854,7220
insttri400_9_2,1+,44.958,7221
insttrapezioid_25_15_105_4.csv,0+,199.983,9019
insttrapezioid_25_15_120_3.csv,0+,199.983,8992
insttrapezioid_25_15_165_4.csv,0+,199.983,8901
insttrapezioid_25_15_170_2.csv,0+,199.982,8890
insttrapezioid_30_10_110_0.csv,1+,3.168,6331
insttrapezioid_30_10_115_3.csv,1+,62.408,6322
insttrapezioid_30_10_130_2.csv,1+,56.136,6292
insttrapezioid_30_10_140_0.csv,1+,1.994,6271
insttrapezioid_30_10_150_4.csv,1+,17.904,6252
insttrapezioid_30_10_155_1.csv,1+,2.561,6241
insttrapezioid_30_10_155_4.csv,1+,53.559,6241
insttrapezioid_30_10_160_4.csv,1+,36.846,6231
insttrapezioid_30_10_170_4.csv,1+,122.272,6212
insttrapezioid_30_10_175_2.csv,1+,63.508,6201
insttrapezioid_30_10_180_2.csv,1+,7.587,6191
insttrapezioid_30_10_180_3.csv,1+,169.449,6190
insttrapezioid_30_10_185_2.csv,1+,4.741,6181
insttrapezioid_30_10_80_3.csv,1+,109.150,6391
insttrapezioid_30_10_85_0.csv,1+,96.389,6382
insttrapezioid_30_10_85_2.csv,1+,14.958,6382
insttrapezioid_30_10_95_1.csv,1+,41.731,6362
insttrapezioid_20_15_100_2.csv,0+,199.987,7572
insttrapezioid_20_15_105_1.csv,0+,199.986,7562
insttrapezioid_20_15_105_2.csv,0+,199.987,7561
insttrapezioid_20_15_105_3.csv,0+,199.984,7562
insttrapezioid_20_15_110_1.csv,1+,115.389,7552
insttrapezioid_20_15_110_2.csv,0+,199.986,7552
insttrapezioid_20_15_125_2.csv,0+,199.987,7522
insttrapezioid_20_15_135_0.csv,0+,199.986,7502
insttrapezioid_20_15_140_2.csv,0+,199.987,7491
insttrapezioid_20_15_145_0.csv,0+,199.986,7481
insttrapezioid_20_15_155_3.csv,0+,199.987,7461
insttrapezioid_20_15_160_2.csv,1+,63.092,7451
insttrapezioid_20_15_80_3.csv,1+,145.460,7612
instrectSubFourTwo5_1_0,1+,6.397,2761
instrectSubFourTwo5_10_11,1+,81.220,2743
instrectSubFourTwo5_10_14,0+,199.993,2743
instrectSubFourTwo5_10_15,1+,91.162,2742
instrectSubFourTwo5_10_17,0+,199.994,2743
instrectSubFourTwo5_10_5,1+,57.309,2743
instrectSubFourTwo5_11_11,1+,49.166,2741
instrectSubFourTwo5_11_17,1+,82.526,2741
instrectSubFourTwo5_1_19,0+,199.995,2761
instrectSubFourTwo5_12_0,0+,199.993,2739
instrectSubFourTwo5_12_1,1+,3.737,2738
instrectSubFourTwo5_12_11,1+,26.605,2739
instrectSubFourTwo5_12_15,0+,199.993,2738
instrectSubFourTwo5_12_16,1+,63.640,2739
instrectSubFourTwo5_12_17,1+,9.587,2739
instrectSubFourTwo5_12_18,1+,19.542,2739
instrectSubFourTwo5_12_19,1+,3.781,2739
instrectSubFourTwo5_12_3,1+,7.230,2738
instrectSubFourTwo5_14_0,1+,1.531,2734
instrectSubFourTwo5_14_13,1+,68.122,2735
instrectSubFourTwo5_16_0,1+,84.680,2730
instrectSubFourTwo5_16_1,0+,199.991,2731
instrectSubFourTwo5_16_19,1+,127.297,2731
instrectSubFourTwo5_16_2,1+,5.121,2728
instrectSubFourTwo5_16_4,1+,4.142,2731
instrectSubFourTwo5_16_5,1+,88.173,2730
instrectSubFourTwo5_16_7,1+,84.134,2731
instrectSubFourTwo5_1_7,1+,1.521,2761
instrectSubFourTwo5_18_10,1+,73.253,2727
instrectSubFourTwo5_18_11,1+,123.686,2726
instrectSubFourTwo5_20_14,1+,7.526,2720
instrectSubFourTwo5_20_15,1+,21.621,2723
instrectSubFourTwo5_20_6,1+,9.438,2723
instrectSubFourTwo5_20_7,1+,68.850,2723
instrectSubFourTwo5_20_9,1+,18.371,2722
instrectSubFourTwo5_2_10,1+,74.379,2759
instrectSubFourTwo5_21_0,1+,5.817,2720
instrectSubFourTwo5_2_11,1+,48.755,2759
instrectSubFourTwo5_21_16,1+,1.717,2720
instrectSubFourTwo5_21_17,1+,11.686,2720
instrectSubFourTwo5_21_19,1+,85.690,2720
instrectSubFourTwo5_2_12,1+,24.590,2759
instrectSubFourTwo5_2_13,1+,103.584,2759
instrectSubFourTwo5_2_15,1+,44.498,2759
instrectSubFourTwo5_21_9,1+,78.606,2721
instrectSubFourTwo5_22_14,0+,199.993,2719
instrectSubFourTwo5_22_16,1+,146.078,2718
instrectSubFourTwo5_22_19,0+,199.994,2717
instrectSubFourTwo5_22_2,1+,30.958,2719
instrectSubFourTwo5_22_7,1+,75.277,2718
instrectSubFourTwo5_2_3,1+,27.471,2759
instrectSubFourTwo5_24_10,1+,20.266,2714
instrectSubFourTwo5_24_16,0+,199.994,2713
instrectSubFourTwo5_24_7,1+,12.163,2714
instrectSubFourTwo5_24_8,1+,13.093,2714
instrectSubFourTwo5_24_9,1+,53.264,2714
instrectSubFourTwo5_2_6,1+,9.943,2759
instrectSubFourTwo5_26_10,1+,30.976,2710
instrectSubFourTwo5_26_13,1+,122.909,2710
instrectSubFourTwo5_26_3,1+,19.617,2710
instrectSubFourTwo5_26_7,1+,92.772,2709
instrectSubFourTwo5_28_4,1+,8.041,2706
instrectSubFourTwo5_2_9,0+,199.995,2759
instrectSubFourTwo5_30_12,1+,83.933,2701
instrectSubFourTwo5_30_17,1+,0.494,2703
instrectSubFourTwo5_30_4,1+,21.542,2702
instrectSubFourTwo5_30_7,1+,38.324,2702
instrectSubFourTwo5_31_15,1+,9.775,2700
instrectSubFourTwo5_31_16,1+,4.046,2699
instrectSubFourTwo5_32_17,1+,1.217,2698
instrectSubFourTwo5_34_0,1+,25.636,2694
instrectSubFourTwo5_34_11,1+,1.502,2695
instrectSubFourTwo5_34_19,1+,5.091,2694
instrectSubFourTwo5_36_5,1+,0.686,2688
instrectSubFourTwo5_38_17,1+,93.173,2685
instrectSubFourTwo5_38_2,1+,7.687,2686
instrectSubFourTwo5_4_11,1+,15.602,2755
instrectSubFourTwo5_41_13,1+,3.239,2679
instrectSubFourTwo5_4_12,1+,17.712,2754
instrectSubFourTwo5_4_13,0+,199.993,2755
instrectSubFourTwo5_4_14,1+,19.785,2755
instrectSubFourTwo5_4_17,0+,199.994,2755
instrectSubFourTwo5_4_6,1+,16.148,2755
instrectSubFourTwo5_4_7,1+,51.106,2755
instrectSubFourTwo5_4_9,1+,5.332,2755
instrectSubFourTwo5_51_1,0,82.466,2657
instrectSubFourTwo5_51_5,0,110.898,2656
instrectSubFourTwo5_6_0,0+,199.992,2750
instrectSubFourTwo5_6_12,1+,1.145,2751
instrectSubFourTwo5_61_5,0,125.805,2633
instrectSubFourTwo5_6_17,1+,44.658,2751
instrectSubFourTwo5_6_6,1+,136.246,2751
instrectSubFourTwo5_6_7,1+,45.765,2751
instrectSubFourTwo5_6_8,0+,199.993,2751
instrectSubFourTwo5_6_9,0+,199.991,2751
instrectSubFourTwo5_8_0,0+,199.991,2746
instrectSubFourTwo5_8_15,1+,144.000,2747
instrectSubFourTwo5_8_16,0+,199.993,2746
instrectSubFourTwo5_8_17,0+,199.991,2745
instrectSubFourTwo5_8_18,1+,27.147,2747
instrectSubFourTwo5_8_4,1+,2.598,2747
instrectSubFourTwo5_8_5,1+,0.711,2747
instrectSubFourTwo5_8_6,1+,72.076,2747
insttrisub300_190_13,1+,3.671,5290
insttrisub300_190_14,1+,3.233,5289
insttrisub300_190_19,1+,53.506,5291
insttrisub300_192_14,1+,7.383,5287
insttrisub300_192_17,1+,130.785,5286
insttrisub300_192_18,1+,118.992,5286
insttrisub300_192_2,1+,147.373,5287
insttrisub300_192_20,1+,82.368,5284
insttrisub300_192_8,1+,16.558,5285
insttrisub300_194_1,1+,58.846,5283
insttrisub300_194_10,0+,199.990,5281
insttrisub300_194_16,1+,1.954,5283
insttrisub300_196_12,1+,1.192,5278
insttrisub300_196_15,1+,0.538,5277
insttrisub300_196_17,1+,8.388,5277
insttrisub300_198_15,1+,15.359,5275
insttrisub300_198_20,0+,199.990,5274
insttrisub300_200_2,1+,162.921,5270
insttrisub300_200_4,1+,56.660,5269
insttrisub300_200_7,1+,26.305,5268
insttrisub300_201_2,0+,199.990,5267
insttrisub300_202_3,1+,151.583,5267
insttrisub300_204_17,1+,65.143,5262
insttrisub300_204_18,1+,37.311,5260
insttrisub300_204_3,1+,56.031,5260
insttrisub300_204_7,1+,63.938,5262
insttrisub300_204_9,1+,2.979,5261
insttrisub300_206_14,1+,21.056,5257
insttrisub300_208_11,0+,199.990,5254
insttrisub300_208_18,1+,66.002,5253
insttrisub300_208_4,1+,38.310,5253
insttrisub300_211_2,1+,3.715,5249
insttrisub300_214_19,0+,199.990,5242
insttrisub300_214_7,1+,10.456,5241
insttrisub300_216_3,0+,199.990,5237
insttrisub300_218_11,1+,18.159,5231
insttrisub300_218_13,1+,4.430,5232
insttrisub300_220_10,1+,34.982,5229
insttrisub300_220_12,0+,199.990,5228
insttrisub300_220_16,1+,3.841,5229
insttrisub300_220_17,1+,6.589,5231
insttrisub300_221_1,1+,17.060,5220
insttrisub300_221_2,1+,1.844,5227
insttrisub300_221_3,1+,8.963,5226
insttrisub300_224_11,0+,199.988,5221
insttrisub300_224_20,1+,2.509,5223
insttrisub300_224_6,1+,18.901,5222
insttrisub300_226_18,1+,58.947,5216
insttrisub300_226_19,1+,167.665,5217
insttrisub300_226_5,1+,161.442,5213
insttrisub300_228_3,0+,199.990,5213
insttrisub300_228_4,0+,199.990,5215
insttrisub300_228_7,1+,136.170,5209
insttrisub300_230_4,0+,199.990,5208
insttrisub300_231_1,1+,36.913,5203
