ins,model,time,groundsize
instrect4000_41_2,0,32.844,50525
instrect4535_65_2,0,72.054,57241
instrect4708_39_1,0,69.298,59497
instrect4708_39_2,0,40.924,59497
instrect4781_68_0,0,58.981,60351
instrect4892_46_2,0,59.113,61838
instrectL1412_10_16,1+,12.671,2231
instrectL1412_10_35,1+,11.571,2230
instrectL1412_12_11,1+,28.829,2226
instrectL1412_12_15,1+,18.415,2226
instrectL1412_12_16,1+,3.296,2225
instrectL1412_12_24,1+,32.509,2226
instrectL1412_12_8,1+,20.481,2227
instrectL1412_14_1,1+,51.153,2222
instrectL1412_14_10,1+,56.696,2221
instrectL1412_14_27,1+,2.921,2222
instrectL1412_14_28,1+,4.868,2223
instrectL1412_14_3,1+,7.417,2222
instrectL1412_14_32,1+,3.485,2222
instrectL1412_14_8,1+,6.792,2223
instrectL1412_16_19,1+,3.341,2219
instrectL1412_16_20,1+,5.815,2219
instrectL1412_16_27,1+,66.742,2218
instrectL1412_16_30,1+,79.920,2218
instrectL1412_16_32,1+,12.417,2218
instrectL1412_16_35,1+,4.683,2217
instrectL1412_16_38,1+,5.672,2218
instrectL1412_16_5,1+,2.879,2217
instrectL1412_18_33,1+,22.619,2214
instrectL1412_18_37,1+,1.094,2214
instrectL1412_2_0,1+,7.191,2247
instrectL1412_20_19,1+,20.115,2210
instrectL1412_20_23,1+,5.138,2209
instrectL1412_20_26,1+,5.256,2209
instrectL1412_20_27,1+,1.666,2211
instrectL1412_20_30,1+,6.145,2211
instrectL1412_20_35,1+,0.200,2211
instrectL1412_20_5,1+,2.432,2210
instrectL1412_2_12,1+,4.916,2247
instrectL1412_2_13,1+,2.653,2247
instrectL1412_2_17,1+,12.423,2247
instrectL1412_22_12,1+,19.048,2207
instrectL1412_22_24,1+,37.788,2206
instrectL1412_22_29,1+,13.378,2206
instrectL1412_22_30,1+,23.125,2207
instrectL1412_2_25,1+,2.194,2247
instrectL1412_22_5,1+,45.478,2207
instrectL1412_2_37,1+,2.946,2247
instrectL1412_24_11,1+,16.784,2200
instrectL1412_24_37,1+,1.572,2203
instrectL1412_26_6,1+,5.570,2198
instrectL1412_28_19,1+,16.647,2190
instrectL1412_28_25,1+,2.557,2194
instrectL1412_28_27,1+,17.506,2192
instrectL1412_28_30,1+,3.132,2192
instrectL1412_28_31,1+,7.415,2193
instrectL1412_30_13,1+,9.002,2189
instrectL1412_30_16,1+,22.527,2190
instrectL1412_30_3,1+,0.804,2190
instrectL1412_30_30,1+,2.549,2190
instrectL1412_32_15,1+,3.632,2184
instrectL1412_32_25,1+,84.207,2187
instrectL1412_32_3,1+,9.582,2186
instrectL1412_32_30,1+,41.481,2187
instrectL1412_34_26,1+,1.288,2182
instrectL1412_36_16,1+,6.340,2178
instrectL1412_36_23,1+,16.934,2177
instrectL1412_38_13,1+,3.493,2173
instrectL1412_38_36,1+,3.206,2173
instrectL1412_4_12,1+,1.908,2243
instrectL1412_4_19,1+,1.181,2243
instrectL1412_42_30,1+,9.304,2166
instrectL1412_48_24,0+,199.995,2149
instrectL1412_4_9,1+,6.029,2243
instrectL1412_52_32,0+,199.995,2143
instrectL1412_58_12,0+,199.995,2130
instrectL1412_58_20,0+,199.995,2131
instrectL1412_58_36,0+,199.995,2132
instrectL1412_6_11,1+,11.544,2239
instrectL1412_6_17,1+,5.663,2239
instrectL1412_6_18,1+,7.654,2239
instrectL1412_6_23,1+,3.486,2239
instrectL1412_62_30,0+,199.995,2125
instrectL1412_6_32,1+,6.005,2239
instrectL1412_6_35,1+,2.917,2239
instrectL1412_6_36,1+,19.660,2239
instrectL1412_6_4,1+,3.435,2239
instrectL1412_64_33,0,79.572,2117
instrectL1412_6_5,1+,1.268,2239
instrectL1412_6_6,1+,1.613,2239
instrectL1412_66_22,0,153.826,2114
instrectL1412_66_9,0+,199.995,2116
instrectL1412_68_15,0,172.173,2110
instrectL1412_68_27,0+,199.995,2112
instrectL1412_72_8,0+,199.995,2099
instrectL1412_8_0,1+,20.481,2235
