ins,model,time,groundsize
instrectL4_40_0,1+,9.732,2115
instrectL4_40_7,0+,199.994,2115
instrectL4_40_8,1+,105.448,2115
instrectL4_41_0,0,0.004,1919
instrectL4_41_1,0,0.004,1919
instrectL4_41_5,1+,3.213,1921
instrectL4_42_0,1+,167.574,2110
instrectL4_44_0,1+,0.287,2107
instrectL4_4_5,0+,199.995,2187
instrectL4_4_6,0+,199.995,2187
instrectL4_4_7,1+,190.418,2187
instrectL4_4_8,0+,199.995,2187
instrectL4_48_5,0+,199.996,2099
instrectL4_48_9,0+,199.958,2098
instrectL4_50_8,0+,199.996,2095
instrectL4_60_7,0,41.032,2074
instrectL4_60_9,1+,96.210,2075
instrectL4_6_1,0+,199.996,2183
instrectL4_61_0,0,43.270,1881
instrectL4_61_13,0,55.630,1881
instrectL4_61_4,0,100.397,1881
instrectL4_62_2,0+,199.994,2071
instrectL4_71_12,0,45.155,1861
instrectL4_71_2,0,62.967,1861
instsquare12_13_17,1+,28.356,1609
instsquare12_16_10,1+,106.435,1603
instsquare12_16_4,1+,0.065,1603
insttri200_101_10,1+,8.697,2573
insttri200_101_7,1+,0.831,2573
insttri200_101_8,1+,139.077,2573
insttri200_1_1,1+,0.196,2813
insttri200_111_3,1+,56.051,2553
insttri200_11_5,1+,1.444,2753
insttri200_1_2,0+,199.994,2813
insttri200_121_3,0+,199.971,2533
insttri200_121_5,1+,29.652,2533
insttri200_131_10,1+,67.009,2513
insttri200_131_4,1+,1.164,2513
insttri200_131_6,0+,199.992,2513
insttri200_141_3,1+,13.112,2493
insttri200_141_6,1+,15.518,2493
insttri200_141_7,1+,0.071,2493
insttri200_151_5,0+,199.993,2473
insttri200_161_1,1+,1.637,2453
insttri200_161_5,0+,199.994,2453
insttri200_17_1,1+,0.265,2781
insttri200_171_6,1+,53.397,2433
insttri200_17_2,1+,0.218,2781
insttri200_1_9,1+,0.412,2773
insttri200_21_7,0+,199.993,2733
insttri200_221_2,1+,11.401,2333
insttri200_25_1,1+,0.085,2765
insttri200_25_2,1+,2.032,2765
insttri200_31_10,0+,199.993,2713
insttri200_31_8,0+,199.993,2713
insttri200_33_1,1+,0.910,2749
insttri200_41_1,1+,0.298,2732
insttri200_41_2,0+,199.993,2733
insttri200_41_3,1+,20.288,2693
insttri200_49_1,1+,56.837,2717
insttri200_49_2,0+,199.942,2717
insttri200_51_1,0+,199.992,2672
insttri200_51_10,0+,199.993,2673
insttri200_51_5,0+,199.990,2673
insttri200_51_6,1+,131.435,2673
insttri200_51_9,1+,144.776,2673
insttri200_57_1,1+,175.700,2700
insttri200_57_2,0+,199.993,2700
insttri200_61_10,1+,91.371,2653
insttri200_65_1,0+,199.995,2685
insttri200_65_2,1+,0.290,2685
insttri200_71_10,1+,9.871,2633
insttri200_71_3,0+,199.972,2633
insttri200_73_1,0+,199.993,2668
insttri200_73_2,1+,16.778,2669
insttri200_81_1,0+,199.991,2653
insttri200_81_10,0+,199.992,2613
insttri200_81_2,0+,199.995,2653
insttri200_81_8,0+,199.995,2612
insttri200_81_9,1+,72.090,2613
insttri200_89_1,0+,199.994,2636
insttri200_9_1,1+,1.068,2797
insttri200_91_5,1+,17.660,2592
insttri200_91_6,1+,55.256,2593
insttri200_9_2,1+,0.276,2797
insttri2010_141_0,1+,28.118,3370
insttri2010_181_6,1+,11.090,3290
insttri2010_191_7,1+,74.052,3270
insttri2010_191_9,0+,199.988,3270
insttri2010_271_2,1+,14.026,3110
insttri2010_291_0,1+,56.570,3070
insttri2010_301_4,0+,199.991,3050
insttri2010_51_5,1+,4.995,3550
insttri240_1_1,1+,0.739,3445
insttri240_1_2,1+,2.350,3445
insttri240_17_1,0+,199.991,3413
insttri240_17_2,1+,1.110,3413
insttri240_25_1,1+,1.740,3397
insttri240_25_2,0+,199.993,3397
insttri240_33_1,1+,12.624,3381
insttri240_33_2,1+,3.725,3381
insttri240_41_2,1+,2.346,3365
insttri240_49_1,1+,4.648,3349
insttri240_49_2,1+,4.539,3349
insttri240_57_1,1+,0.974,3333
insttri240_57_2,1+,14.011,3333
insttri240_65_1,1+,1.265,3317
insttri240_65_2,1+,4.165,3317
insttri240_73_1,0+,199.992,3301
insttri240_73_2,1+,1.749,3301
insttri240_81_1,0+,199.991,3285
insttri240_81_2,1+,4.884,3285
insttri240_89_1,0+,199.992,3269
insttri240_89_2,1+,1.761,3269
insttri240_9_1,1+,0.101,3429
insttri240_9_2,1+,0.379,3429
insttri280_1_1,1+,11.894,4141
insttri280_1_2,1+,1.172,4141
insttri280_17_1,1+,9.007,4109
insttri280_17_2,1+,16.328,4109
insttri280_25_1,1+,46.605,4093
insttri280_25_2,1+,22.103,4093
insttri280_33_1,1+,6.261,4077
insttri280_33_2,1+,4.209,4077
insttri280_41_1,1+,58.818,4061
insttri280_41_2,1+,7.687,4061
insttri280_49_1,1+,2.243,4045
insttri280_49_2,1+,10.245,4045
insttri280_57_1,1+,3.700,4029
insttri280_57_2,1+,1.575,4029
insttri280_65_1,1+,28.782,4012
insttri280_65_2,1+,2.033,4012
insttri280_73_1,1+,9.311,3997
insttri280_73_2,1+,5.430,3997
insttri280_81_1,1+,30.171,3981
insttri280_81_2,1+,15.240,3981
insttri280_89_1,1+,10.295,3965
insttri280_89_2,1+,0.504,3965
insttri280_9_1,1+,15.290,4125
insttri280_9_2,1+,4.687,4125
insttri3010_301_0,1+,180.141,4569
insttri3010_301_2,0+,199.990,4570
insttri3010_301_3,0+,199.990,4570
insttri3010_301_5,0+,199.994,4570
insttri3010_301_6,0+,199.992,4569
insttri3010_301_7,0+,199.984,4569
insttri3010_301_8,0+,199.989,4568
insttri3010_311_0,0+,199.992,4550
insttri3010_311_3,0+,199.994,4550
insttri3010_311_4,0+,199.977,4550
insttri3010_311_7,1+,153.951,4549
insttri3010_311_8,0+,199.992,4550
insttri320_1_1,1+,2.982,4513
insttri320_1_2,1+,12.936,4513
insttri320_17_1,1+,4.779,4481
insttri320_17_2,1+,7.458,4481
insttri320_25_1,1+,1.422,4464
insttri320_25_2,1+,3.027,4465
insttri320_33_1,1+,8.687,4449
insttri320_33_2,1+,9.307,4449
insttri320_41_1,1+,0.327,4433
insttri320_41_2,1+,7.842,4433
insttri320_49_1,1+,3.118,4417
insttri320_49_2,1+,1.779,4417
insttri320_57_1,1+,9.262,4401
insttri320_57_2,1+,6.949,4401
insttri320_65_1,1+,7.525,4385
insttri320_65_2,1+,63.835,4385
insttri320_73_1,1+,6.237,4369
insttri320_73_2,1+,2.550,4369
insttri320_81_1,1+,7.138,4353
insttri320_81_2,1+,7.207,4353
insttri320_89_1,1+,3.853,4337
insttri320_89_2,1+,40.619,4337
insttri320_9_1,1+,5.992,4497
insttri320_9_2,1+,0.569,4497
insttri360_1_1,1+,28.898,5305
insttri360_1_2,1+,9.185,5305
insttri360_17_1,1+,8.381,5273
insttri360_17_2,1+,12.089,5273
insttri360_25_1,1+,3.544,5257
insttri360_25_2,1+,28.121,5257
insttri360_33_1,1+,2.025,5241
insttri360_33_2,1+,10.016,5241
insttri360_41_1,1+,22.106,5225
insttri360_41_2,1+,8.329,5225
insttri360_49_1,1+,180.267,5209
insttri360_49_2,0,0.022,5209
insttri360_57_1,1+,20.498,5193
insttri360_57_2,0+,199.993,5193
insttri360_65_1,1+,115.684,5177
insttri360_65_2,1+,11.156,5177
insttri360_73_1,1+,98.775,5161
insttri360_73_2,1+,21.769,5161
insttri360_81_1,1+,18.126,5145
insttri360_81_2,1+,25.691,5145
insttri360_89_1,1+,8.429,5128
insttri360_89_2,1+,15.029,5129
insttri360_9_1,1+,9.950,5289
insttri360_9_2,1+,0.346,5289
insttri400_1_1,1+,10.862,5725
insttri400_1_2,1+,7.652,5725
insttri400_17_1,1+,24.436,5693
insttri400_17_2,0+,199.993,5693
insttri400_25_1,1+,48.247,5677
insttri400_25_2,0+,199.993,5677
insttri400_33_1,1+,15.074,5661
insttri400_33_2,1+,107.788,5661
insttri400_41_1,0+,199.993,5645
insttri400_41_2,1+,8.341,5645
insttri400_49_1,1+,115.304,5629
insttri400_49_2,1+,23.585,5629
insttri400_57_1,1+,27.345,5613
insttri400_57_2,0+,199.992,5613
insttri400_65_1,1+,2.734,5597
insttri400_65_2,1+,47.645,5596
insttri400_73_1,1+,140.475,5581
insttri400_73_2,1+,13.217,5581
insttri400_81_1,1+,15.534,5565
insttri400_81_2,1+,20.077,5565
insttri400_89_1,0+,199.992,5549
insttri400_89_2,0+,199.993,5548
insttri400_9_1,0+,199.993,5709
insttri400_9_2,0+,199.989,5709
insttrapezioid_25_15_105_4.csv,1+,3.746,7100
insttrapezioid_25_15_120_3.csv,1+,16.162,7072
insttrapezioid_25_15_165_4.csv,0+,199.994,6982
insttrapezioid_25_15_170_2.csv,0+,199.994,6971
insttrapezioid_30_10_110_0.csv,1+,65.377,4952
insttrapezioid_30_10_115_3.csv,1+,21.066,4942
insttrapezioid_30_10_130_2.csv,1+,23.196,4912
insttrapezioid_30_10_140_0.csv,1+,104.662,4892
insttrapezioid_30_10_150_4.csv,1+,18.827,4872
insttrapezioid_30_10_155_1.csv,1+,20.634,4862
insttrapezioid_30_10_155_4.csv,1+,55.802,4862
insttrapezioid_30_10_160_4.csv,1+,148.300,4852
insttrapezioid_30_10_170_4.csv,1+,7.839,4832
insttrapezioid_30_10_175_2.csv,0+,199.995,4822
insttrapezioid_30_10_180_2.csv,1+,23.087,4811
insttrapezioid_30_10_180_3.csv,0+,199.993,4811
insttrapezioid_30_10_185_2.csv,1+,41.401,4801
insttrapezioid_30_10_80_3.csv,1+,65.139,5012
insttrapezioid_30_10_85_0.csv,1+,9.852,5002
insttrapezioid_30_10_85_2.csv,1+,11.059,5002
insttrapezioid_30_10_95_1.csv,1+,11.347,4982
insttrapezioid_20_15_100_2.csv,0+,199.994,5952
insttrapezioid_20_15_105_1.csv,0+,199.994,5942
insttrapezioid_20_15_105_2.csv,0+,199.993,5942
insttrapezioid_20_15_105_3.csv,0+,199.993,5942
insttrapezioid_20_15_110_1.csv,0+,199.994,5932
insttrapezioid_20_15_110_2.csv,1+,136.483,5932
insttrapezioid_20_15_125_2.csv,0+,199.994,5902
insttrapezioid_20_15_135_0.csv,0+,199.994,5882
insttrapezioid_20_15_140_2.csv,0+,199.994,5872
insttrapezioid_20_15_145_0.csv,1+,22.734,5861
insttrapezioid_20_15_155_3.csv,0+,199.994,5842
insttrapezioid_20_15_160_2.csv,0+,199.994,5832
insttrapezioid_20_15_80_3.csv,0+,199.993,5992
instrectSubFourTwo5_1_0,1+,15.576,2041
instrectSubFourTwo5_10_11,1+,51.703,2023
instrectSubFourTwo5_10_14,0+,199.992,2023
instrectSubFourTwo5_10_15,1+,156.517,2023
instrectSubFourTwo5_10_17,1+,1.173,2023
instrectSubFourTwo5_10_5,1+,162.276,2023
instrectSubFourTwo5_11_11,0+,199.974,2021
instrectSubFourTwo5_11_17,1+,4.130,2021
instrectSubFourTwo5_1_19,1+,22.354,2041
instrectSubFourTwo5_12_0,0+,199.994,2019
instrectSubFourTwo5_12_1,0+,199.993,2019
instrectSubFourTwo5_12_11,1+,21.644,2019
instrectSubFourTwo5_12_15,1+,3.699,2019
instrectSubFourTwo5_12_16,0+,199.996,2019
instrectSubFourTwo5_12_17,1+,42.054,2019
instrectSubFourTwo5_12_18,1+,6.396,2019
instrectSubFourTwo5_12_19,1+,59.960,2019
instrectSubFourTwo5_12_3,1+,77.590,2019
instrectSubFourTwo5_14_0,0+,199.994,2015
instrectSubFourTwo5_14_13,1+,4.505,2015
instrectSubFourTwo5_16_0,0+,199.996,2011
instrectSubFourTwo5_16_1,0+,199.996,2011
instrectSubFourTwo5_16_19,1+,53.805,2011
instrectSubFourTwo5_16_2,1+,1.369,2011
instrectSubFourTwo5_16_4,1+,19.819,2011
instrectSubFourTwo5_16_5,1+,129.229,2011
instrectSubFourTwo5_16_7,1+,20.650,2011
instrectSubFourTwo5_1_7,1+,33.071,2041
instrectSubFourTwo5_18_10,1+,0.126,2007
instrectSubFourTwo5_18_11,1+,165.389,2007
instrectSubFourTwo5_20_14,1+,15.986,2002
instrectSubFourTwo5_20_15,1+,9.907,2003
instrectSubFourTwo5_20_6,1+,7.053,2003
instrectSubFourTwo5_20_7,1+,43.833,2003
instrectSubFourTwo5_20_9,1+,54.872,2003
instrectSubFourTwo5_2_10,1+,46.382,2039
instrectSubFourTwo5_21_0,1+,130.476,2001
instrectSubFourTwo5_2_11,1+,54.904,2039
instrectSubFourTwo5_21_16,1+,4.232,2001
instrectSubFourTwo5_21_17,1+,55.572,2001
instrectSubFourTwo5_21_19,1+,5.168,2001
instrectSubFourTwo5_2_12,1+,148.573,2039
instrectSubFourTwo5_2_13,1+,51.605,2039
instrectSubFourTwo5_2_15,1+,19.786,2039
instrectSubFourTwo5_21_9,1+,83.328,2001
instrectSubFourTwo5_22_14,1+,1.933,1999
instrectSubFourTwo5_22_16,1+,48.735,1999
instrectSubFourTwo5_22_19,1+,4.669,1998
instrectSubFourTwo5_22_2,1+,195.315,1999
instrectSubFourTwo5_22_7,1+,7.725,1999
instrectSubFourTwo5_2_3,1+,124.625,2039
instrectSubFourTwo5_24_10,1+,1.197,1995
instrectSubFourTwo5_24_16,1+,39.466,1995
instrectSubFourTwo5_24_7,1+,71.316,1995
instrectSubFourTwo5_24_8,1+,3.072,1995
instrectSubFourTwo5_24_9,1+,74.399,1995
instrectSubFourTwo5_2_6,1+,66.804,2039
instrectSubFourTwo5_26_10,1+,33.733,1991
instrectSubFourTwo5_26_13,1+,0.276,1991
instrectSubFourTwo5_26_3,1+,4.364,1991
instrectSubFourTwo5_26_7,1+,15.981,1991
instrectSubFourTwo5_28_4,1+,30.928,1987
instrectSubFourTwo5_2_9,1+,49.026,2039
instrectSubFourTwo5_30_12,1+,51.649,1983
instrectSubFourTwo5_30_17,1+,19.613,1983
instrectSubFourTwo5_30_4,1+,12.659,1983
instrectSubFourTwo5_30_7,0+,199.995,1983
instrectSubFourTwo5_31_15,1+,90.502,1981
instrectSubFourTwo5_31_16,1+,6.261,1981
instrectSubFourTwo5_32_17,1+,4.969,1979
instrectSubFourTwo5_34_0,1+,53.430,1975
instrectSubFourTwo5_34_11,1+,2.063,1975
instrectSubFourTwo5_34_19,1+,7.720,1975
instrectSubFourTwo5_36_5,1+,0.592,1971
instrectSubFourTwo5_38_17,1+,1.941,1966
instrectSubFourTwo5_38_2,1+,7.280,1967
instrectSubFourTwo5_4_11,1+,155.815,2035
instrectSubFourTwo5_41_13,1+,13.931,1961
instrectSubFourTwo5_4_12,0+,199.995,2035
instrectSubFourTwo5_4_13,0+,199.995,2035
instrectSubFourTwo5_4_14,1+,1.591,2035
instrectSubFourTwo5_4_17,1+,79.063,2035
instrectSubFourTwo5_4_6,1+,33.628,2035
instrectSubFourTwo5_4_7,1+,20.818,2035
instrectSubFourTwo5_4_9,1+,40.370,2035
instrectSubFourTwo5_51_1,0,68.647,1941
instrectSubFourTwo5_51_5,0,98.727,1940
instrectSubFourTwo5_6_0,0+,199.996,2031
instrectSubFourTwo5_6_12,1+,10.126,2031
instrectSubFourTwo5_61_5,0,132.514,1921
instrectSubFourTwo5_6_17,1+,26.249,2031
instrectSubFourTwo5_6_6,1+,160.669,2031
instrectSubFourTwo5_6_7,1+,0.308,2031
instrectSubFourTwo5_6_8,0+,199.995,2031
instrectSubFourTwo5_6_9,1+,48.489,2031
instrectSubFourTwo5_8_0,1+,3.108,2027
instrectSubFourTwo5_8_15,1+,42.481,2027
instrectSubFourTwo5_8_16,1+,77.304,2027
instrectSubFourTwo5_8_17,1+,190.003,2026
instrectSubFourTwo5_8_18,0+,199.996,2027
instrectSubFourTwo5_8_4,1+,10.818,2027
instrectSubFourTwo5_8_5,1+,7.400,2027
instrectSubFourTwo5_8_6,1+,14.149,2027
insttrisub300_190_13,1+,49.748,4095
insttrisub300_190_14,1+,106.838,4095
insttrisub300_190_19,1+,10.455,4095
insttrisub300_192_14,1+,80.715,4091
insttrisub300_192_17,1+,41.571,4091
insttrisub300_192_18,0+,199.994,4091
insttrisub300_192_2,1+,87.011,4091
insttrisub300_192_20,1+,104.212,4091
insttrisub300_192_8,1+,127.161,4091
insttrisub300_194_1,1+,163.911,4087
insttrisub300_194_10,1+,20.360,4087
insttrisub300_194_16,1+,4.309,4087
insttrisub300_196_12,1+,0.535,4083
insttrisub300_196_15,1+,58.948,4083
insttrisub300_196_17,1+,141.921,4083
insttrisub300_198_15,1+,3.400,4079
insttrisub300_198_20,0+,199.995,4079
insttrisub300_200_2,1+,51.614,4075
insttrisub300_200_4,1+,24.633,4075
insttrisub300_200_7,1+,68.164,4074
insttrisub300_201_2,1+,1.765,4072
insttrisub300_202_3,1+,55.062,4071
insttrisub300_204_17,1+,42.251,4067
insttrisub300_204_18,1+,157.492,4067
insttrisub300_204_3,1+,1.438,4066
insttrisub300_204_7,0+,199.995,4067
insttrisub300_204_9,1+,62.733,4067
insttrisub300_206_14,1+,39.267,4062
insttrisub300_208_11,0+,199.995,4059
insttrisub300_208_18,1+,12.470,4059
insttrisub300_208_4,1+,138.591,4059
insttrisub300_211_2,1+,155.552,4053
insttrisub300_214_19,1+,17.273,4047
insttrisub300_214_7,1+,35.874,4047
insttrisub300_216_3,1+,104.132,4043
insttrisub300_218_11,1+,41.845,4038
insttrisub300_218_13,1+,54.470,4039
insttrisub300_220_10,1+,28.154,4035
insttrisub300_220_12,1+,45.882,4034
insttrisub300_220_16,1+,50.299,4035
insttrisub300_220_17,1+,7.264,4035
insttrisub300_221_1,1+,41.775,4032
insttrisub300_221_2,0+,199.995,4033
insttrisub300_221_3,1+,42.441,4032
insttrisub300_224_11,1+,14.092,4027
insttrisub300_224_20,1+,2.117,4027
insttrisub300_224_6,1+,125.345,4027
insttrisub300_226_18,0+,199.994,4022
insttrisub300_226_19,1+,86.038,4023
insttrisub300_226_5,1+,2.784,4022
insttrisub300_228_3,1+,102.338,4019
insttrisub300_228_4,1+,18.549,4019
insttrisub300_228_7,1+,58.090,4018
insttrisub300_230_4,1+,137.558,4015
insttrisub300_231_1,1+,62.591,4012
